MW,CLogP,HBD,TPSA,RotBonds,SMILES
173.167,-1.249,2,77.840,1,CC(=O)N1C[C@H](O)C[C@@H]1C(=O)O
247.313,2.379,1,38.330,3,COc1ccccc1NC(=O)c1ccc(C)s1
258.115,1.333,0,38.130,3,CN(C(=O)Cn1cc(Br)cn1)C1CC1
230.266,0.720,1,59.810,4,CCn1cc(CNC(=O)c2cccnc2)cn1
209.328,2.531,0,20.310,0,CC(=O)N1CCCC2(CCCCCC2)C1
229.235,0.805,1,64.110,3,CC(=O)Nc1ccc(Oc2ncccn2)cc1
163.216,1.162,1,43.090,2,CC(C)(C(N)=O)c1ccccc1
247.336,2.083,2,54.020,4,O=C(NCCc1ccncc1)NC1CCCCC1
210.248,1.406,1,36.360,1,CC1(C)CN(c2ncccc2F)CC1O
152.194,0.833,1,34.150,3,CNCc1cccc(OC)n1
156.225,-1.034,2,55.120,1,CC(=O)NC1CCC(N)CC1
234.294,0.908,1,41.570,3,CC(=O)Nc1ccc(CN2CCOCC2)cc1
233.328,0.236,1,55.400,2,O=S(=O)(NC1CCCC1)C1CCOCC1
235.305,3.064,0,42.160,2,c1csc(-c2nc(N3CCCCC3)no2)c1
196.170,-0.034,1,32.340,2,Cl.O=C(CC(F)(F)F)N1CCNCC1
237.278,2.391,2,63.250,2,CNC(=O)Nc1nc2ccc(OC)cc2s1
193.199,0.747,2,66.400,2,CC(=O)Nc1cccc(C(=O)O)c1C
163.238,0.604,1,46.170,1,CS(=O)(=O)NC1CCCC1
223.243,2.033,0,29.540,2,Cc1cccc(OC2CCN(C)C2=O)c1F
203.240,0.362,1,64.940,3,Cc1noc(CC(N)c2ccccc2)n1.Cl
205.296,2.901,1,21.260,4,COc1ccc(CNC2CCCC2)cc1
213.300,1.362,0,38.250,1,Cc1nsc(N2CC(C)OC(C)C2)n1
169.181,0.823,2,67.160,2,CCNC(=O)Nc1cc(C)on1
244.077,2.185,1,50.940,2,OCc1cn(-c2ccc(Cl)c(Cl)c2)nn1
243.283,-0.482,2,92.500,2,CN(C)C(=O)Nc1ccc(S(N)(=O)=O)cc1
193.199,1.153,2,66.400,3,Cc1cccc(C(=O)NCC(=O)O)c1
