regid,smiles,Pgood
S1048,c1n[nH]c2n[nH]nc12,0.99
S10481,O=C1ON=CC2=C1NC=CC2=O,0.65
S10482,O=C1ON=CC2=C1C(=O)C=CN2,0.64
S10485,O=C1ON=Cc2nccnc12,0.85
S1049,o1nnc2cn[nH]c12,0.99
S105,O=C1C=CNN=N1,0.88
S1050,o1nnc2[nH]ncc12,0.98
S1052,o1nnn2nccc12,0.96
S1053,c1n[nH]c2snnc12,0.99
S1054,c1n[nH]c2nnsc12,0.98
S10556,O=C1Oc2c[nH]cc2C=N1,0.82
S10557,O=C1Oc2cocc2C=N1,0.93
S10558,O=C1Oc2cscc2C=N1,0.97
S10559,O=C1Oc2c[nH]nc2C=N1,0.82
S1056,c1cc2snnn2n1,0.96
S10560,O=C1Oc2n[nH]cc2C=N1,0.82
S10561,O=C1Oc2conc2C=N1,0.9
S10562,O=C1Oc2nocc2C=N1,0.9
S1057,O=C1C(=O)c2cn[nH]c2C1=O,0.97
S10570,O=C1OC=C2OC(=O)N=CC2=C1,0.85
S10571,O=C1OC=C2C=NC(=O)OC2=C1,0.85
S10576,O=C1NC=C2C=NC(=O)OC2=N1,0.93
S1059,o1nc2cn[nH]c2n1,0.99
S1060,c1n[nH]c2nsnc12,0.99
S10607,O=C1OC2=C(C=N1)C(=O)C=CN2,0.63
S10609,O=C1OC2=C(C=N1)C(=O)N=CN2,0.61
S1061,O=C1Nc2cn[nH]c2N1,0.97
S10614,O=C1NC=NC2=C1C=NC(=O)O2,0.92
S1062,O=C1Nc2ccnn2N1,0.83
S1063,O=C1Nc2cn[nH]c2O1,0.93
S1064,O=C1Nc2[nH]ncc2O1,0.93
S1067,O=C1Nc2cn[nH]c2S1,0.97
S1068,O=C1Nc2[nH]ncc2S1,0.97
S1071,c1ccc2[nH]ncc2c1,1.0
S1072,c1ccn2nccc2c1,0.99
S1073,c1cc2[nH]ncc2cn1,1.0
S1074,c1cc2cn[nH]c2cn1,1.0
S10748,O=C1SN=Cc2c[nH]cc12,0.86
S1075,c1cnc2[nH]ncc2c1,1.0
S10750,O=C1SN=Cc2cscc12,0.56
S10751,O=C1SN=Cc2n[nH]cc12,0.87
S10752,O=C1SN=Cc2c[nH]nc12,0.9
S10753,O=C1SN=Cc2nocc12,0.59
S1076,c1cnc2cn[nH]c2c1,1.0
S10762,O=C1OC=C2C(=O)SN=CC2=C1,0.67
S10763,O=C1OC=C2C=NSC(=O)C2=C1,0.67
S1077,c1cc2cnccn2n1,0.99
S1078,c1cc2ccnn2cn1,0.99
S1079,c1cnn2nccc2c1,0.96
