system,lig,RMSDi,RMSDf,idx
CDK2,CS248,21.83363,0.06848,12
CDK2,CS260,19.39364,0.08719,13
CDK2,CS261,51.52277,6.59460,14
CDK2,CS262,9.11424,0.08626,15
CDK2,CS1,7.74656,0.15894,0
CDK2,CS3,33.22337,0.05962,1
CDK2,CS4,44.13695,0.07240,2
CDK2,CS9,20.05756,0.09518,3
CDK2,CS11,45.38319,0.05646,4
CDK2,CS18,51.88426,0.04052,5
CDK2,CS19,39.20774,0.06573,6
CDK2,CS20,52.54937,0.05149,7
CDK2,CS241,9.43909,0.06846,8
CDK2,CS242,16.97749,0.03413,9
CDK2,CS245,8.53487,0.03774,10
CDK2,CS246,46.30233,0.07589,11
CDK2,CS248,21.83363,0.06848,12
CDK2,CS260,19.39364,6.50988,13
CDK2,CS261,51.52277,6.59340,14
CDK2,CS262,9.11424,0.07358,15
CDK2,CS1,7.74656,0.15894,0
CDK2,CS3,33.22337,0.05970,1
CDK2,CS4,44.13695,0.07472,2
CDK2,CS9,20.05756,0.09518,3
CDK2,CS11,45.38319,0.05646,4
CDK2,CS18,51.88426,0.04052,5
CDK2,CS19,39.20774,0.06380,6
CDK2,CS20,52.54937,3.66333,7
CDK2,CS241,9.43909,0.06722,8
CDK2,CS242,16.97749,0.03286,9
CDK2,CS245,8.53487,0.04615,10
CDK2,CS246,46.30233,0.07589,11
CDK2,CS248,21.83363,0.06848,12
CDK2,CS260,19.39364,1.92689,13
CDK2,CS261,51.52277,6.59953,14
CDK2,CS262,9.11424,0.08545,15
CDK2,CS1,7.74656,0.15815,0
CDK2,CS3,33.22337,0.05997,1
CDK2,CS4,44.13695,0.07472,2
CDK2,CS9,20.05756,0.09564,3
CDK2,CS11,45.38319,0.04894,4
CDK2,CS18,51.88426,0.04052,5
CDK2,CS19,39.20774,0.06341,6
CDK2,CS20,52.54937,3.73340,7
CDK2,CS241,9.43909,0.06740,8
CDK2,CS242,16.97749,0.03047,9
CDK2,CS245,8.53487,0.04401,10
CDK2,CS246,46.30233,3.30799,11
CDK2,CS248,21.83363,0.06848,12
CDK2,CS260,19.39364,0.09087,13
CDK2,CS261,51.52277,6.59369,14
CDK2,CS262,9.11424,0.07554,15
CDK2,CS1,7.74656,0.15894,0
CDK2,CS3,33.22337,0.05962,1
CDK2,CS4,44.13695,0.07552,2
CDK2,CS9,20.05756,0.09518,3
CDK2,CS11,45.38319,0.04946,4
CDK2,CS18,51.88426,0.02884,5
CDK2,CS19,39.20774,0.06341,6
CDK2,CS20,52.54937,3.73432,7
CDK2,CS241,9.43909,0.06740,8
CDK2,CS242,16.97749,0.03413,9
CDK2,CS245,8.53487,0.04600,10
CDK2,CS246,46.30233,3.30825,11
CDK2,CS248,21.83363,0.06848,12
CDK2,CS260,19.39364,0.08719,13
CDK2,CS261,51.52277,6.59571,14
CDK2,CS262,9.11424,0.08762,15
CDK2,CS1,7.74656,0.15894,0
CDK2,CS3,33.22337,0.05988,1
CDK2,CS4,44.13695,0.07552,2
CDK2,CS9,20.05756,0.09518,3
CDK2,CS11,45.38319,0.04913,4
CDK2,CS18,51.88426,0.04052,5
CDK2,CS19,39.20774,0.06341,6
CDK2,CS20,52.54937,3.66360,7
CDK2,CS241,9.43909,0.06740,8
CDK2,CS242,16.97749,0.03286,9
CDK2,CS245,8.53487,0.04600,10
CDK2,CS246,46.30233,3.31136,11
CDK2,CS248,21.83363,0.06848,12
CDK2,CS260,19.39364,7.36892,13
CDK2,CS261,51.52277,6.55757,14
CDK2,CS262,9.11424,0.08545,15
CDK2,CS1,7.74656,0.15814,0
CDK2,CS3,33.22337,0.05844,1
CDK2,CS4,44.13695,0.07552,2
CDK2,CS9,20.05756,0.09322,3
CDK2,CS11,45.38319,0.05221,4
CDK2,CS18,51.88426,0.04783,5
CDK2,CS19,39.20774,0.06573,6
CDK2,CS20,52.54937,3.65473,7
CDK2,CS241,9.43909,0.06740,8
CDK2,CS242,16.97749,0.03413,9
CDK2,CS245,8.53487,0.04401,10
CDK2,CS246,46.30233,3.27166,11
CDK2,CS248,21.83363,0.06848,12
CDK2,CS260,19.39364,6.77518,13
CDK2,CS261,51.52277,6.55421,14
CDK2,CS262,9.11424,0.08615,15
CDK2,CS1,7.74656,0.15894,0
CDK2,CS3,33.22337,0.05871,1
CDK2,CS4,44.13695,0.07472,2
CDK2,CS9,20.05756,0.09564,3
CDK2,CS11,45.38319,0.05221,4
CDK2,CS18,51.88426,0.04052,5
CDK2,CS19,39.20774,0.06341,6
CDK2,CS20,52.54937,0.05149,7
CDK2,CS241,9.43909,0.08178,8
CDK2,CS242,16.97749,0.03413,9
CDK2,CS245,8.53487,0.03704,10
CDK2,CS246,46.30233,0.07333,11
CDK2,CS248,21.83363,0.06848,12
CDK2,CS260,19.39364,6.52233,13
CDK2,CS261,51.52277,6.59340,14
CDK2,CS262,9.11424,0.08615,15
CDK2,CS1,7.74656,0.15815,0
CDK2,CS3,33.22337,0.05997,1
CDK2,CS4,44.13695,0.07472,2
CDK2,CS9,20.05756,0.09518,3
CDK2,CS11,45.38319,0.05646,4
CDK2,CS18,51.88426,3.70970,5
CDK2,CS19,39.20774,0.06380,6
CDK2,CS20,52.54937,3.73332,7
CDK2,CS241,9.43909,0.08178,8
CDK2,CS242,16.97749,0.03047,9
CDK2,CS245,8.53487,0.04401,10
CDK2,CS246,46.30233,0.07595,11
CDK2,CS248,21.83363,0.06848,12
CDK2,CS260,19.39364,7.36892,13
CDK2,CS261,51.52277,6.60011,14
CDK2,CS262,9.11424,0.08615,15
CDK2,CS1,7.74656,0.15894,0
CDK2,CS3,33.22337,0.05997,1
CDK2,CS4,44.13695,0.07552,2
CDK2,CS9,20.05756,0.09564,3
CDK2,CS11,45.38319,0.05646,4
CDK2,CS18,51.88426,0.04052,5
CDK2,CS19,39.20774,0.06341,6
CDK2,CS20,52.54937,3.73417,7
CDK2,CS241,9.43909,0.06740,8
CDK2,CS242,16.97749,0.03047,9
CDK2,CS245,8.53487,0.05188,10
CDK2,CS246,46.30233,3.31136,11
CDK2,CS248,21.83363,0.06738,12
CDK2,CS260,19.39364,0.08241,13
CDK2,CS261,51.52277,0.07374,14
CDK2,CS262,9.11424,0.08545,15
CDK2,CS1,7.74656,0.15814,0
CDK2,CS3,33.22337,0.05997,1
CDK2,CS4,44.13695,0.07472,2
CDK2,CS9,20.05756,0.09564,3
CDK2,CS11,45.38319,0.05221,4
CDK2,CS18,51.88426,0.02948,5
CDK2,CS19,39.20774,0.05716,6
CDK2,CS20,52.54937,3.65606,7
CDK2,CS241,9.43909,0.06722,8
CDK2,CS242,16.97749,0.03430,9
CDK2,CS245,8.53487,0.03800,10
CDK2,CS246,46.30233,0.07589,11
CDK2,CS248,21.83363,0.06848,12
CDK2,CS260,19.39364,7.05858,13
CDK2,CS261,51.52277,6.59349,14
CDK2,CS262,9.11424,0.08691,15
CDK2,CS1,7.74656,0.15894,0
CDK2,CS3,33.22337,0.05937,1
CDK2,CS4,44.13695,0.07552,2
CDK2,CS9,20.05756,0.09518,3
CDK2,CS11,45.38319,0.05221,4
CDK2,CS18,51.88426,0.04052,5
CDK2,CS19,39.20774,0.06341,6
CDK2,CS20,52.54937,3.66371,7
CDK2,CS241,9.43909,0.06740,8
CDK2,CS242,16.97749,0.03413,9
CDK2,CS245,8.53487,0.03871,10
CDK2,CS246,46.30233,0.07589,11
CDK2,CS248,21.83363,0.06848,12
CDK2,CS260,19.39364,7.36892,13
CDK2,CS261,51.52277,0.06694,14
CDK2,CS262,9.11424,0.08615,15
CDK2,CS1,7.74656,0.15894,0
CDK2,CS3,33.22337,0.05962,1
CDK2,CS4,44.13695,0.07472,2
CDK2,CS9,20.05756,0.09518,3
CDK2,CS11,45.38319,0.04858,4
CDK2,CS18,51.88426,0.04052,5
CDK2,CS19,39.20774,0.06384,6
CDK2,CS20,52.54937,3.73387,7
CDK2,CS241,9.43909,0.08178,8
CDK2,CS242,16.97749,0.03298,9
CDK2,CS245,8.53487,0.03774,10
CDK2,CS246,46.30233,0.07595,11
CDK2,CS248,21.83363,0.06738,12
CDK2,CS260,19.39364,0.09684,13
CDK2,CS261,51.52277,6.59172,14
CDK2,CS262,9.11424,0.08545,15
CDK2,CS1,7.74656,0.15814,0
CDK2,CS3,33.22337,0.05997,1
CDK2,CS4,44.13695,0.07152,2
CDK2,CS9,20.05756,0.09564,3
CDK2,CS11,45.38319,0.04946,4
CDK2,CS18,51.88426,5.49115,5
CDK2,CS19,39.20774,0.06573,6
CDK2,CS20,52.54937,3.66360,7
CDK2,CS241,9.43909,0.08178,8
CDK2,CS242,16.97749,0.03413,9
CDK2,CS245,8.53487,0.03495,10
CDK2,CS246,46.30233,0.07595,11
CDK2,CS248,21.83363,0.06848,12
CDK2,CS260,19.39364,7.36936,13
CDK2,CS261,51.52277,6.59282,14
CDK2,CS262,9.11424,0.08545,15
CDK2,CS1,7.74656,0.15814,0
CDK2,CS3,33.22337,0.05962,1
CDK2,CS4,44.13695,0.07733,2
CDK2,CS9,20.05756,0.09518,3
CDK2,CS11,45.38319,0.04855,4
CDK2,CS18,51.88426,0.04052,5
CDK2,CS19,39.20774,0.06341,6
CDK2,CS20,52.54937,3.65510,7
CDK2,CS241,9.43909,0.08178,8
CDK2,CS242,16.97749,0.03286,9
CDK2,CS245,8.53487,0.03581,10
CDK2,CS246,46.30233,0.07333,11
CDK2,CS248,21.83363,0.06825,12
CDK2,CS260,19.39364,7.36896,13
CDK2,CS261,51.52277,6.59369,14
CDK2,CS262,9.11424,0.07554,15
CDK2,CS1,7.74656,0.15814,0
CDK2,CS3,33.22337,0.05997,1
CDK2,CS4,44.13695,0.07472,2
CDK2,CS9,20.05756,0.09518,3
CDK2,CS11,45.38319,0.05221,4
